mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
-67.9408,51.635,122.034,0.22,1.11,0.05,0.16,0.98,0.14
0.0198,0.0198,0.0381,0.17,0.98,0.65,0.1,1,0.16
0.0198,0.0198,0.0381,0.05,0,1.68,0.44,0,0.13
0.0198,0.0198,0.0381,0.06,0.69,1.5,0.17,0.22,0.22
0.0198,0.0198,0.0381,0.22,0.06,0.56,1.42,0.39,0.21
0.0198,0.0198,0.0381,0.16,0.01,1.64,0.61,0.34,0.23
0.0198,0.0198,0.0381,0.57,0.12,0.03,1.26,0.78,0.25
0.0198,0.0198,0.0381,0.06,0.96,1.22,0.21,0.39,0.27
0.0198,0.0198,0.0381,0.17,0.12,1.66,0.23,0.54,0.32
-67.187,52.3095,122.6444,0.08,0.19,1.02,0.85,0.79,0.16
-64.0528,49.5323,122.034,0.17,0.27,1.59,0.01,0.5,0.14
-64.4099,50.6035,125.6199,1.22,0.41,0.12,0.21,0.75,0.16
0.0198,0.0198,0.0381,0.1,0.19,1.37,0.72,0.34,0.14
-66.1555,53.4203,126.0777,0.83,0.06,0.19,0.96,0.74,0.14
-66.1555,52.3888,126.8406,0.71,1.11,0.04,0.18,0.61,0.12
-65.8381,53.0632,124.1703,0.19,0.53,1.58,0.04,0.17,0.12
-69.012,55.9197,126.6117,0.04,0.16,0.18,1.4,0.52,0.14
-66.8696,49.5323,127.2984,1.38,0.13,0.17,0.21,0.62,0.12
0.0198,0.0198,0.0381,0.23,1.44,0.28,0.16,0.17,0.1
-67.2663,52.3888,125.0095,0.14,0.23,1.6,0.45,0.19,0.13
-66.1952,50.2861,128.2139,0.72,0.09,0.3,1.22,0.45,0.13
0.0198,0.0198,0.0381,1.02,0.96,0.08,0.28,0.25,0.12
-65.8381,50.9606,125.9251,0.27,0.79,1.42,0.05,0.12,0.13
-65.4414,48.8579,126.9932,0.04,0.23,0.67,1.41,0.27,0.14
-63.7354,48.4611,128.4428,1.5,0.01,0.23,0.26,0.28,0.14
-64.4099,46.3584,128.1376,0.27,1.46,0.04,0.19,0.18,0.16
-64.0925,47.7867,125.391,0.17,0.25,1.72,0.39,0.04,0.16
-64.4099,50.2861,129.2821,0.49,0.13,0.27,1.42,0.16,0.17
-61.6327,49.2149,128.9769,1.27,0.7,0.1,0.23,0.26,0.17
-64.4495,49.2149,126.9932,0.26,1.02,1.14,0.08,0.04,0.19
-64.0925,53.4203,127.6799,0.08,0.21,0.88,1.22,0.03,0.25
0.0198,0.0198,0.0381,1.05,0.13,0.09,0.39,1.06,0.18
0.0198,0.0198,0.0381,0.31,0.1,0.04,1.06,1.06,0.17
0.0198,0.0198,0.0381,0.88,0.57,0.13,0.05,1.06,0.17
0.0198,0.0198,0.0381,0.16,0.5,0.62,0.09,1.54,0.19
-66.7109,53.3013,116.6934,0.19,0.53,0.8,0.08,1.38,0.16
-68.4169,55.7214,117.0748,0.09,0.18,0.57,0.63,1.48,0.17
0.0198,0.0198,0.0381,0.17,0.88,0.17,0.21,1.33,0.14
-70.5989,54.6899,116.846,0.22,0.18,1.1,0.16,1.26,0.14
-68.1392,52.2698,118.2956,0.19,0.17,0.27,0.71,1.54,0.16
-69.5674,50.8415,118.6007,0.71,0.57,0.18,0.31,1.35,0.14
-68.4962,50.4448,117.9904,0.36,0.71,0.78,0.14,1.23,0.16
-68.1392,51.1986,117.9904,0.13,0.38,0.7,0.66,1.35,0.19
-64.6082,50.8415,119.0585,0.79,0.09,0.47,0.5,1.37,0.21
-66.3935,49.0166,119.0585,0.27,0.91,0.06,0.43,1.27,0.22
0.0198,0.0198,0.0381,0.44,0.32,1.26,0.16,1.09,0.25
-64.9653,54.7295,119.1348,0.14,0.35,0.41,1.02,1.2,0.32
0.0198,0.0198,0.0381,0.85,0.47,0.3,0.48,1.28,0.34
-67.8218,54.7295,117.9141,0.58,0.91,0.87,0.26,0.97,0.3
0.0198,0.0198,0.0381,0.27,0.49,1.1,0.69,0.96,0.39
-68.1392,53.3013,119.3637,0.78,0.14,0.5,0.71,1.28,0.43
-69.25,51.5953,121.3474,0.53,1.11,0.09,0.52,0.96,0.35
0.0198,0.0198,0.0381,0.48,0.52,1.41,0.09,0.79,0.41
0.0198,0.0198,0.0381,1.1,0.44,0.28,0.41,0.93,0.4
-65.3223,51.9524,123.2547,1.23,0.12,0.16,0.18,0.84,0.27
0.0198,0.0198,0.0381,0.21,1.31,0.48,0.13,0.12,0.22
-66.0761,54.7295,121.3474,0.14,0.16,1.45,0.56,0.39,0.22
-65.7191,50.5241,125.5436,0.78,1.02,0.06,0.16,0.57,0.17
-68.9326,49.453,125.8488,0.13,1.44,0.19,0.14,0.21,0.12
0.0198,0.0198,0.0381,0.06,0.01,0,1.49,0,0.13
0.0198,0.0198,0.0381,1.51,0.05,0.01,0,0.01,0.04
0.0198,0.0198,0.0381,0,1.46,0.21,0.03,0,0.12
0.0198,0.0198,0.0381,0.04,0,1.54,0.48,0,0.18
0.0198,0.0198,0.0381,1.02,0.93,0.05,0.01,0.1,0.06
0.0198,0.0198,0.0381,0.03,0.71,1.35,0.06,0,0.19
-67.5837,53.1426,121.3474,0.06,0.01,0.71,1.31,0.1,0.05
-69.6864,50.6432,122.797,1.42,0.05,0.03,0.34,0.28,0.06
-70.3609,51.7144,120.8133,0.01,1.46,0.08,0.04,0,0.1
-67.5837,51.7144,117.6089,0.04,0,1.68,0.34,0,0.06
0.0198,0.0198,0.0381,1.19,0.75,0.06,0.01,0.14,0.06
0.0198,0.0198,0.0381,0.03,1.05,1.04,0.05,0.06,0.06
-67.2663,54.5708,121.1948,0.28,0.04,0.01,1.45,0.36,0.06
-67.5837,53.8567,120.9659,1.32,0.45,0.05,0.01,0.52,0.09
-68.6946,53.8567,118.3719,0.06,0.03,1.2,0.91,0.25,0.09
0.0198,0.0198,0.0381,1.1,0.05,0.04,0.72,0.57,0.09
-67.6234,50.0084,115.6252,0.05,0.27,1.68,0.08,0.22,0.12
0.0198,0.0198,0.0381,0.08,0.04,0.05,1.45,0.52,0.13
-67.8218,48.7388,114.786,0.16,0.1,0.04,0.83,1.42,0.21
0.0198,0.0198,0.0381,0.28,0.69,0.13,0.08,1.42,0.17
0.0198,0.0198,0.0381,0.36,0.09,0.06,0.45,1.54,0.17
0.0198,0.0198,0.0381,0.4,0.52,0.12,0.06,1.44,0.18
-66.5126,45.8824,117.5326,1.32,0.45,0.01,0.06,0.08,0.53
-64.7272,43.7797,116.9986,1.1,0,0.05,0.8,0.08,0.43
-65.4414,50.1671,117.38,0.91,0,0.04,1.1,0.05,0.25
-64.0528,51.5953,112.4208,0.01,0.56,1.31,0,0.04,0.5
-67.2663,46.9932,115.7778,0,0,0.23,1.46,0.04,0.19
-64.4099,47.6677,112.6497,0,0.03,1.58,0.4,0.03,0.26
-67.1473,52.6268,116.083,0.09,0.22,1.24,0.12,1.09,0.17
0.0198,0.0198,0.0381,0.05,0.78,0.71,0.09,1.23,0.19
-65.4017,54.0551,117.4563,0.26,0.83,0.12,0.06,1.37,0.23
0.0198,0.0198,0.0381,0.09,0.28,1.2,0.14,1.14,0.25
0.0198,0.0198,0.0381,0.78,0.38,0.08,0.06,1.5,0.27
-69.6071,55.1263,116.6934,0.08,0.85,0.66,0.13,1.2,0.27
-68.2582,51.9524,115.3201,0.14,0.04,0.89,0.47,1.38,0.27
0.0198,0.0198,0.0381,0.58,0.12,0.05,0.49,1.59,0.28
0.0198,0.0198,0.0381,0.35,0.76,0.16,0.09,1.4,0.3
-67.5044,50.2068,114.0993,0.09,0.36,0.88,0.18,1.42,0.28
-67.5044,51.2779,116.5408,0.19,0.09,0.22,0.74,1.55,0.28
-65.0843,48.1041,116.6171,0.74,0.25,0.13,0.05,1.58,0.27
-65.7588,51.635,115.9304,0.06,0.75,0.4,0.13,1.48,0.26
0.0198,0.0198,0.0381,0.17,0.05,0.87,0.41,1.44,0.25
-66.1555,55.8404,114.7097,0.1,0.39,0.92,0.14,1.42,0.25
0.0198,0.0198,0.0381,0.18,0.06,0.38,0.65,1.66,0.23
-71.1147,53.3806,117.6089,0.56,0.25,0.08,0.06,1.73,0.27
-70.0435,53.0632,115.9304,0.06,0.79,0.36,0.1,1.51,0.31
-69.6864,51.635,114.5571,0.12,0.03,0.76,0.32,1.6,0.31
-68.2582,48.4611,117.0748,0.39,0.1,0.05,0.49,1.73,0.35
-68.6152,47.747,115.7015,0.38,0.62,0.17,0.06,1.66,0.4
-66.5126,49.5323,114.4045,0.09,0.05,0.75,0.22,1.63,0.4
-64.7272,49.1752,115.7778,0.28,0.08,0.31,0.65,1.7,0.4
-67.5837,51.635,115.7778,0.48,0.26,0.08,0.16,1.77,0.41
0.0198,0.0198,0.0381,0.08,0.56,0.43,0.12,1.73,0.43
-65.8381,52.3888,114.4808,0.19,0.04,0.69,0.38,1.66,0.39
-67.5837,51.9921,116.9986,0.36,0.17,0.16,0.41,1.8,0.38
-68.2979,54.4915,115.5489,0.19,0.45,0.19,0.06,1.8,0.41
-69.369,51.3176,115.3201,0.1,0.25,0.66,0.27,1.64,0.38
-69.7261,52.3888,116.083,0.31,0.23,0.08,0.13,1.84,0.39
-69.012,51.635,115.3964,0.09,0.52,0.34,0.14,1.75,0.38
-66.8696,50.6035,115.3964,0.16,0.14,0.48,0.28,1.79,0.34
-67.6234,49.2149,116.1593,0.28,0.14,0.1,0.25,1.85,0.34
-64.7669,49.2149,115.5489,0.08,0.22,0.39,0.21,1.82,0.31
-65.4414,51.7144,115.9304,0.23,0.05,0.38,0.26,1.81,0.28
-65.1637,51.3176,117.38,0.18,0.19,0.17,0.18,1.86,0.28
-66.8696,55.2453,116.3882,0.14,0.16,0.48,0.19,1.79,0.27
-69.0517,51.7144,116.6934,0.21,0.1,0.27,0.18,1.85,0.26
-70.4799,52.3888,116.6934,0.14,0.25,0.25,0.05,1.86,0.28
-70.1228,48.8579,116.4645,0.14,0.17,0.27,0.19,1.84,0.26
-70.1228,51.9921,116.7697,0.19,0.19,0.21,0.09,1.86,0.27
-65.5207,49.6117,115.9304,0.19,0.16,0.22,0.14,1.86,0.28
-66.949,50.2861,115.5489,0.14,0.18,0.25,0.13,1.86,0.3
-67.6234,53.4203,116.6934,0.23,0.22,0.39,0.09,1.8,0.28
-70.4799,50.2861,116.3882,0.17,0.21,0.44,0.06,1.8,0.28
-65.1637,52.0714,115.7778,0.18,0.16,0.62,0.17,1.7,0.3
0.0198,0.0198,0.0381,0,1.29,0.7,0.01,0,0.13
0.0198,0.0198,0.0381,0.75,1.18,0.04,0.01,0.09,0.08
0.0198,0.0198,0.0381,0.01,0.43,1.62,0.05,0.01,0.09
-68.7343,54.2931,117.9141,0.06,0.74,0.27,0.1,1.49,0.22
0.0198,0.0198,0.0381,0.13,0.18,0.83,0.18,1.49,0.19
0.0198,0.0198,0.0381,0.13,0.05,0.5,0.44,1.66,0.18
0.0198,0.0198,0.0381,0.13,0.54,0.12,0.06,1.68,0.18
0.0198,0.0198,0.0381,0.09,0.08,0.7,0.1,1.62,0.19
-68.0598,52.8649,117.6852,0.3,0.19,0.06,0.05,1.8,0.19
0.0198,0.0198,0.0381,0.06,0.54,0.48,0.09,1.62,0.22
0.0198,0.0198,0.0381,0.23,0.08,0.04,0.22,1.81,0.23
0.0198,0.0198,0.0381,0.16,0.58,0.1,0.06,1.7,0.26
-69.4881,52.8649,116.7697,0.08,0.28,0.61,0.13,1.68,0.26
0.0198,0.0198,0.0381,0.3,0.23,0.06,0.06,1.81,0.27
0.0198,0.0198,0.0381,0.06,0.4,0.34,0.09,1.77,0.28
-67.0283,47.985,117.5326,0.12,0.04,0.43,0.28,1.79,0.3
0.0198,0.0198,0.0381,0.14,0.3,0.16,0.05,1.82,0.31
0.0198,0.0198,0.0381,0.18,0.19,0.12,0.06,1.86,0.3
-69.8451,54.2931,118.0667,0.08,0.32,0.35,0.13,1.8,0.28
0.0198,0.0198,0.0381,0.16,0.13,0.43,0.17,1.8,0.27
0.0198,0.0198,0.0381,0.19,0.16,0.19,0.14,1.85,0.27
0.0198,0.0198,0.0381,0.14,0.25,0.16,0.06,1.85,0.28
0.0198,0.0198,0.0381,0.06,0.27,0.32,0.14,1.82,0.28
0.0198,0.0198,0.0381,0.14,0.13,0.27,0.21,1.84,0.3
0.0198,0.0198,0.0381,0.25,0.13,0.13,0.13,1.86,0.32
0.0198,0.0198,0.0381,0.09,0.26,0.19,0.08,1.86,0.36
0.0198,0.0198,0.0381,0.23,0.09,0.26,0.21,1.85,0.39
0.0198,0.0198,0.0381,0.08,0.17,0.32,0.12,1.88,0.44
-68.8136,51.516,117.6089,0.19,0.21,0.32,0.25,1.81,0.43
-69.1707,53.3013,118.0667,0.1,0.17,0.26,0.16,1.88,0.47
0.0198,0.0198,0.0381,0.14,0.28,0.26,0.23,1.82,0.44
0.0198,0.0198,0.0381,0.23,0.3,0.34,0.17,1.79,0.44
-67.7424,50.4448,118.3719,0.16,0.14,0.18,0.18,1.86,0.43
0.0198,0.0198,0.0381,0.19,0.35,0.13,0.19,1.81,0.4
0.0198,0.0198,0.0381,0.12,0.16,0.17,0.38,1.82,0.38
0.0198,0.0198,0.0381,0.22,0.18,0.13,0.17,1.84,0.35
0.0198,0.0198,0.0381,0.21,0.36,0.43,0.13,1.73,0.32
-68.1392,52.5872,118.9059,0.16,0.08,0.14,0.25,1.85,0.32
-67.7424,55.404,118.9822,0.16,0.48,0.17,0.17,1.75,0.3
-70.2419,53.3013,118.2956,0.18,0.1,0.65,0.06,1.63,0.28
0.0198,0.0198,0.0381,0.16,0.41,0.35,0.13,1.58,0.25
-66.0365,50.8415,120.2029,0.13,0.65,0.36,0.12,1.55,0.19
0.0198,0.0198,0.0381,0.05,0.01,1.64,0.48,0,0.1
0.0198,0.0198,0.0381,0.08,0.03,0.72,1.31,0.13,0.1
0.0198,0.0198,0.0381,0.08,1.46,0.09,0.04,0.14,0.13
0.0198,0.0198,0.0381,0.05,0.04,1.73,0.13,0,0.13
0.0198,0.0198,0.0381,1.26,0.63,0.06,0.03,0.39,0.14
0.0198,0.0198,0.0381,0.04,1.05,1.06,0.09,0.1,0.14
0.0198,0.0198,0.0381,0.1,0.03,0.92,1.13,0.39,0.14
0.0198,0.0198,0.0381,1.32,0.09,0.04,0.48,0.53,0.16
0.0198,0.0198,0.0381,0.41,1.35,0.1,0.05,0.32,0.16
-65.3223,51.9921,112.192,0.06,0.18,1.68,0.1,0.28,0.14
0.0198,0.0198,0.0381,0.25,0.06,0.03,1.45,0.44,0.16
0.0198,0.0198,0.0381,0.05,1.13,0.92,0.08,0.35,0.17
0.0198,0.0198,0.0381,0.1,0.04,1.07,0.98,0.39,0.16
0.0198,0.0198,0.0381,0.97,0.08,0.04,0.76,0.75,0.17
0.0198,0.0198,0.0381,0.49,1.23,0.08,0.06,0.57,0.17
0.0198,0.0198,0.0381,0.08,0.34,1.59,0.1,0.38,0.16
0.0198,0.0198,0.0381,0.1,0.05,0.14,1.29,0.79,0.16
0.0198,0.0198,0.0381,1.24,0.41,0.08,0.05,0.67,0.17
0.0198,0.0198,0.0381,0.06,1.2,0.72,0.09,0.5,0.16
-68.1788,52.3888,112.1157,0.09,0.05,1.26,0.67,0.66,0.16
0.0198,0.0198,0.0381,0.88,0.08,0.06,0.83,0.79,0.16
0.0198,0.0198,0.0381,0.6,1.06,0.08,0.06,0.79,0.14
0.0198,0.0198,0.0381,0.08,0.39,1.48,0.08,0.65,0.14
0.0198,0.0198,0.0381,0.09,0.06,0.04,1.27,0.83,0.14
0.0198,0.0198,0.0381,1.09,0.23,0.06,0.05,1.02,0.14
0.0198,0.0198,0.0381,0.06,1.24,0.48,0.08,0.71,0.14
0.0198,0.0198,0.0381,0.09,0.04,1.37,0.52,0.72,0.16
0.0198,0.0198,0.0381,0.72,0.06,0.04,0.84,1.1,0.16
-72.1065,53.817,114.786,0.67,1.01,0.08,0.06,0.85,0.17
0.0198,0.0198,0.0381,0.05,0.18,0.39,0.1,1.84,0.34
-67.7028,51.8334,118.4482,0.17,0.12,0.34,0.22,1.81,0.27
-68.7343,54.9676,119.2111,0.06,0.21,0.3,0.04,1.85,0.26
-69.8054,53.9361,120.2792,0.05,0.19,0.27,0.18,1.82,0.21
0.0198,0.0198,0.0381,0.18,0.17,0.25,0.1,1.82,0.19
0.0198,0.0198,0.0381,0.04,0.16,0.23,0.08,1.86,0.17
-66.2745,48.6595,119.6689,0.13,0.13,0.09,0.13,1.85,0.16
0.0198,0.0198,0.0381,0.13,0.18,0.22,0.09,1.84,0.16
-67.3854,50.4051,119.6689,0.09,0.12,0.27,0.14,1.84,0.16
0.0198,0.0198,0.0381,0.1,0.18,0.22,0.13,1.84,0.16
-67.7028,52.1904,120.0504,0.16,0.31,0.38,0.12,1.75,0.19
0.0198,0.0198,0.0381,0.13,0.1,0.45,0.13,1.77,0.22
0.0198,0.0198,0.0381,0.09,0.06,0.1,0.16,1.86,0.22
0.0198,0.0198,0.0381,0.1,0.23,0.49,0.06,1.72,0.21
0.0198,0.0198,0.0381,0.06,0.08,0.18,0.34,1.82,0.19
0.0198,0.0198,0.0381,0.3,0.18,0.08,0.1,1.79,0.18
0.0198,0.0198,0.0381,0.1,0.43,0.28,0.08,1.73,0.17
0.0198,0.0198,0.0381,0.08,0.09,0.49,0.26,1.73,0.17
0.0198,0.0198,0.0381,0.17,0.05,0.09,0.35,1.8,0.16
-64.8859,51.8334,122.3392,0.13,0.39,0.05,0.09,1.76,0.14
0.0198,0.0198,0.0381,0.1,0.23,0.66,0.04,1.6,0.13
0.0198,0.0198,0.0381,0.35,0.13,0.09,0.08,1.79,0.12
-69.131,51.1589,122.3392,0.27,0.58,0.06,0.13,1.58,0.1
0.0198,0.0198,0.0381,0.14,0.44,0.69,0.05,1.49,0.1
-68.4169,51.8334,121.6526,0.04,0.12,0.32,0.57,1.66,0.12
0.0198,0.0198,0.0381,0.62,0.03,0.14,0.09,1.63,0.1
-67.3854,49.4133,121.7288,0.12,0.71,0.18,0.12,1.49,0.1
0.0198,0.0198,0.0381,0.12,0.13,0.87,0.25,1.44,0.12
0.0198,0.0198,0.0381,0.25,0.08,0.17,0.67,1.51,0.12
-67.0283,50.0877,122.8733,0.5,0.52,0.06,0.16,1.53,0.12
0.0198,0.0198,0.0381,0.18,0.52,0.89,0.05,1.28,0.1
-68.9326,55.6023,112.9549,0.72,0.97,0.1,0.08,0.85,0.23
-69.012,48.8975,113.6416,0.8,0.85,0.12,0.09,0.93,0.28
-72.2255,50.0084,112.8786,0.94,0.12,0.12,0.1,1.31,0.38
-69.2897,50.6432,116.083,0,0,0,0,0,0
-69.6071,51.0002,116.6934,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.16,0.34,0.41,0.1,1.76,0.39
0.0198,0.0198,0.0381,0.13,0.1,0.38,0.22,1.81,0.39
-70.2419,51.873,113.7179,0.23,0.16,0.09,0.13,1.84,0.38
-70.2419,52.2698,114.0993,0.12,0.38,0.25,0.12,1.79,0.36
-68.1392,52.5872,114.1756,0.13,0.26,0.19,0.08,1.84,0.27
0.0198,0.0198,0.0381,0.09,0.12,0.39,0.14,1.82,0.26
-66.3935,52.9442,115.3201,0.1,0.06,0.23,0.25,1.85,0.23
-67.068,52.5872,115.7015,0.16,0.18,0.1,0.12,1.85,0.22
-70.2419,54.7295,115.0149,0.14,0.25,0.44,0.06,1.75,0.22
0.0198,0.0198,0.0381,0.08,0.1,0.4,0.22,1.8,0.22
-71.2734,55.0469,116.3882,0.17,0.47,0.31,0.1,1.71,0.19
0.0198,0.0198,0.0381,0.1,0.14,0.49,0.13,1.76,0.21
0.0198,0.0198,0.0381,0.22,0.16,0.1,0.22,1.85,0.36
0.0198,0.0198,0.0381,0.22,0.35,0.25,0.09,1.81,0.36
0.0198,0.0198,0.0381,0.1,0.17,0.45,0.21,1.81,0.35
0.0198,0.0198,0.0381,0.08,0.13,0.32,0.36,1.82,0.31
0.0198,0.0198,0.0381,0.21,0.21,0.12,0.19,1.82,0.28
0.0198,0.0198,0.0381,0.23,0.49,0.43,0.13,1.67,0.28
-70.9957,54.3725,115.0149,0.14,0.17,0.54,0.21,1.76,0.31
-67.8218,51.873,116.083,0.25,0.06,0.21,0.23,1.84,0.32
-69.5674,50.1671,115.0912,0.23,0.58,0.08,0.23,1.67,0.31
0.0198,0.0198,0.0381,0.12,0.16,0.21,0.52,1.75,0.36
-66.7506,51.873,117.2274,0.44,0.25,0.13,0.22,1.73,0.36
0.0198,0.0198,0.0381,0.23,0.1,0.48,0.1,1.64,0.36
0.0198,0.0198,0.0381,0.12,0.18,0.6,0.45,1.63,0.36
0.0198,0.0198,0.0381,0.35,0.06,0.14,0.38,1.76,0.35
0.0198,0.0198,0.0381,0.25,0.61,0.05,0.14,1.64,0.31
0.0198,0.0198,0.0381,0.16,0.31,0.88,0.06,1.45,0.31
-68.8533,55.4833,118.3719,0.08,0.09,0.3,0.65,1.67,0.28
0.0198,0.0198,0.0381,0.6,0.31,0.09,0.16,1.63,0.25
-69.9245,52.6268,118.3719,0.16,0.75,0.53,0.09,1.36,0.23
0.0198,0.0198,0.0381,0.08,0.12,0.7,0.47,1.53,0.23
0.0198,0.0198,0.0381,0.53,0.05,0.13,0.45,1.63,0.21
0.0198,0.0198,0.0381,0.3,0.71,0.05,0.12,1.44,0.18
0.0198,0.0198,0.0381,0.04,0.09,0.12,0.78,1.5,0.17
0.0198,0.0198,0.0381,0.78,0.21,0.09,0.12,1.5,0.16
-66.4332,48.0247,119.6689,0.14,0.76,0.52,0.08,1.32,0.16
0.0198,0.0198,0.0381,0.04,0.1,0.31,0.89,1.33,0.14
0.0198,0.0198,0.0381,0.16,1,0.52,0.09,1.05,0.13
0.0198,0.0198,0.0381,0.09,0.12,1.11,0.4,1.11,0.14
-67.5044,52.6268,124.3992,0.78,0.06,0.17,0.69,1.1,0.12
-67.8614,51.9524,123.1785,0.18,0.39,1.46,0.04,0.63,0.12
-67.5044,51.9524,125.6199,0.05,0.16,0.19,1.2,0.94,0.13
0.0198,0.0198,0.0381,1.18,0.19,0.17,0.16,0.85,0.13
0.0198,0.0198,0.0381,0.18,1.22,0.52,0.14,0.69,0.13
-66.4332,49.8497,123.0259,0.12,0.18,1.26,0.63,0.66,0.14
0.0198,0.0198,0.0381,0.83,0.08,0.23,0.88,0.75,0.14
-65.0446,50.8812,123.4836,0.25,0.45,1.54,0.04,0.43,0.13
-65.4017,50.5241,126.6117,0.04,0.23,0.43,1.37,0.5,0.14
0.0198,0.0198,0.0381,1.31,0.09,0.25,0.18,0.71,0.14
-65.0446,51.635,126.0014,0.23,1.33,0.45,0.22,0.43,0.13
-63.9734,50.8812,125.0095,0.22,0.25,1.48,0.58,0.26,0.14
0.0198,0.0198,0.0381,0.8,1.04,0.12,0.34,0.53,0.18
-66.8299,51.2779,125.5436,0.38,0.61,1.51,0.09,0.16,0.18
-67.5837,52.7062,126.3066,0.09,0.32,0.65,1.33,0.43,0.25
0.0198,0.0198,0.0381,1.4,0.03,0.32,0.32,0.58,0.25
-67.5837,51.2779,125.6962,0.27,0.28,1.59,0.45,0.14,0.26
-65.0843,51.2779,127.6036,0.08,0.31,0.78,1.36,0.16,0.26
-65.7588,48.7785,128.748,0.31,1.46,0.12,0.23,0.1,0.23
-62.9816,48.1041,130.2739,1.16,0.85,0.1,0.28,0.17,0.21
0.0198,0.0198,0.0381,0.06,0.01,0.97,1.13,0.05,0.08
0.0198,0.0198,0.0381,0.3,1.42,0.08,0.03,0.08,0.09
0.0198,0.0198,0.0381,0.04,0.05,1.73,0.08,0,0.1
0.0198,0.0198,0.0381,0.03,1.19,0.89,0.05,0,0.12
0.0198,0.0198,0.0381,0.06,0.01,1.11,1.04,0.13,0.1
0.0198,0.0198,0.0381,0.41,1.38,0.08,0.04,0.14,0.14
0.0198,0.0198,0.0381,0.05,0.3,1.71,0.09,0.06,0.14
0.0198,0.0198,0.0381,0.03,1.24,0.83,0.06,0.23,0.18
0.0198,0.0198,0.0381,0.62,1.24,0.12,0.04,0.45,0.21
0.0198,0.0198,0.0381,0.08,0.36,1.68,0.14,0.19,0.22
-65.3223,52.7062,112.726,0.19,0.04,1.41,0.7,0.52,0.28
0.0198,0.0198,0.0381,0.88,0.17,0.05,0.97,0.82,0.27
0.0198,0.0198,0.0381,0.12,0.52,1.5,0.21,0.53,0.27
0.0198,0.0198,0.0381,0.25,0.09,0.35,1.26,0.85,0.25
-69.9245,53.7377,113.489,0.18,0.03,1.4,0.56,0.75,0.25
0.0198,0.0198,0.0381,0.21,0.09,0.49,1.15,0.93,0.25
0.0198,0.0198,0.0381,0.17,0.03,1.37,0.54,0.83,0.22
0.0198,0.0198,0.0381,0.03,0,1.63,0.3,0,0.19
0.0198,0.0198,0.0381,0.05,0.01,0.69,1.31,0.12,0.08
0.0198,0.0198,0.0381,0.05,0.01,1.7,0.18,0,0.1
0.0198,0.0198,0.0381,0.44,0.04,0.01,1.44,0.13,0.09
0.0198,0.0198,0.0381,0.06,0.03,0.98,1.1,0.1,0.09
0.0198,0.0198,0.0381,1.27,0.05,0.03,0.56,0.44,0.09
0.0198,0.0198,0.0381,0.05,0.06,1.73,0.08,0.03,0.1
0.0198,0.0198,0.0381,0.34,0.05,0.01,1.42,0.39,0.1
0.0198,0.0198,0.0381,0.06,0.03,1.04,1.05,0.28,0.13
0.0198,0.0198,0.0381,1.27,0.06,0.04,0.61,0.43,0.13
0.0198,0.0198,0.0381,0.06,0.09,1.71,0.09,0.21,0.14
0.0198,0.0198,0.0381,0.28,0.06,0.01,1.42,0.44,0.14
0.0198,0.0198,0.0381,0.12,0.04,1.14,0.93,0.35,0.14
0.0198,0.0198,0.0381,1.1,0.08,0.05,0.62,0.69,0.16
0.0198,0.0198,0.0381,0.16,0.06,0.06,1.33,0.7,0.14
0.0198,0.0198,0.0381,0.13,0.04,1.1,0.88,0.54,0.14
-69.6071,54.4915,116.083,0.13,0.06,0.03,1.27,0.79,0.13
0.0198,0.0198,0.0381,0.88,0.09,0.05,0.65,0.98,0.14
0.0198,0.0198,0.0381,0.62,0.08,0.18,0.12,1.64,0.17
0.0198,0.0198,0.0381,0.13,0.69,0.36,0.18,1.49,0.17
0.0198,0.0198,0.0381,0.22,0.14,0.88,0.34,1.4,0.17
-67.3854,54.3725,120.0504,0.26,0.18,0.19,0.57,1.63,0.19
-70.5989,52.9442,117.38,0.28,0.57,0.88,0.18,1.26,0.18
-69.1707,56.1181,119.8215,0.17,0.27,0.5,0.65,1.49,0.23
-68.4962,49.7704,118.7533,0.75,0.14,0.34,0.14,1.5,0.26
-69.5674,50.4448,119.8215,0.21,0.94,0.3,0.36,1.22,0.23
-69.5674,52.5872,117.8378,0.34,0.23,1.01,0.32,1.29,0.28
-67.068,51.1986,118.6007,0.53,0.23,0.35,0.69,1.38,0.32
-66.7109,50.0877,119.9741,0.69,0.62,0.23,0.36,1.28,0.31
0.0198,0.0198,0.0381,0.41,0.61,0.94,0.17,1.19,0.32
-64.6082,52.5872,119.6689,0.14,0.36,0.56,0.91,1.2,0.34
-63.537,52.5872,119.0585,0.85,0.09,0.35,0.23,1.33,0.36
-64.6082,51.873,120.737,0.34,0.98,0.31,0.28,1.18,0.34
-66.0365,53.698,119.0585,0.27,0.32,1.29,0.39,0.92,0.32
0.0198,0.0198,0.0381,0.45,0.16,0.34,0.98,1.2,0.36
-68.4962,49.7704,121.8814,0.8,0.66,0.12,0.34,1.14,0.31
-68.4962,54.7295,120.6607,0.35,0.79,1.14,0.1,0.74,0.28
0.0198,0.0198,0.0381,0.09,0.21,0.72,0.97,1,0.31
